misdrijf,Regio,2010,2011,2012,2013
Vernielingen, misdr.openb.orde/gezag,Zuid-Holland,38920,42095,36420,31930
Vernielingen, misdr.openb.orde/gezag,Zeeland,4420,4365,3820,3320
Vernielingen, misdr.openb.orde/gezag,Noord-Brabant,26920,25765,23895,20130
Vernielingen, misdr.openb.orde/gezag,Limburg,13390,12030,10890,9970
Vernielingen, misdr.openb.orde/gezag,niet in te delen,225,225,115,90
Vernieling en beschadiging,Groningen,5425,5225,4920,4325
Vernieling en beschadiging,Friesland,5625,5615,5050,4340
Vernieling en beschadiging,Drenthe,4200,4095,4180,3430
Vernieling en beschadiging,Overijssel,8695,8825,8635,7420
Vernieling en beschadiging,Flevoland,4105,4010,3240,2815
Vernieling en beschadiging,Gelderland,17645,16225,14735,12645
Vernieling en beschadiging,Utrecht,10610,9805,8665,7795
Vernieling en beschadiging,Noord-Holland,25265,24175,21720,19975
Vernieling en beschadiging,Zuid-Holland,30695,34605,30200,26605
Vernieling en beschadiging,Zeeland,3860,3750,3265,2785
Vernieling en beschadiging,Noord-Brabant,22535,21565,19590,16910
Vernieling en beschadiging,Limburg,11240,9995,9100,8595
Vernieling en beschadiging,niet in te delen,155,150,55,50
Vernieling aan auto,Groningen,2275,2105,1880,1700
Vernieling aan auto,Friesland,2090,2155,1830,1695
Vernieling aan auto,Drenthe,1475,1365,1765,1435
Vernieling aan auto,Overijssel,3495,3655,3535,3045
Vernieling aan auto,Flevoland,1355,1500,1230,1220
Vernieling aan auto,Gelderland,7700,7110,6250,5405
Vernieling aan auto,Utrecht,5020,4540,3945,3845
Vernieling aan auto,Noord-Holland,11795,11155,10020,9610
Vernieling aan auto,Zuid-Holland,14795,15845,13520,12015
Vernieling aan auto,Zeeland,1825,1680,1450,1255
Vernieling aan auto,Noord-Brabant,11895,11165,10215,8800
Vernieling aan auto,Limburg,5850,5095,4655,4390
Vernieling aan auto,niet in te delen,65,80,35,35
Vernieling aan openbaar gebouw,Groningen,380,325,175,125
Vernieling aan openbaar gebouw,Friesland,365,220,55,85
Vernieling aan openbaar gebouw,Drenthe,470,310,100,105
Vernieling aan openbaar gebouw,Overijssel,880,670,265,235
Vernieling aan openbaar gebouw,Flevoland,1135,285,35,35
Vernieling aan openbaar gebouw,Gelderland,1740,1135,275,190
Vernieling aan openbaar gebouw,Utrecht,880,605,120,135
Vernieling aan openbaar gebouw,Noord-Holland,2050,1380,350,325
Vernieling aan openbaar gebouw,Zuid-Holland,1840,1945,480,405
Vernieling aan openbaar gebouw,Zeeland,270,195,55,70
Vernieling aan openbaar gebouw,Noord-Brabant,1270,790,250,200
Vernieling aan openbaar gebouw,Limburg,475,385,125,95
Vernieling aan openbaar gebouw,niet in te delen,10,0,0,0
Vernieling middel openb.vervoer,Groningen,70,65,40,10
Vernieling middel openb.vervoer,Friesland,60,55,60,20
Vernieling middel openb.vervoer,Drenthe,25,30,15,5
Vernieling middel openb.vervoer,Overijssel,50,80,90,40
Vernieling middel openb.vervoer,Flevoland,65,95,65,65
Vernieling middel openb.vervoer,Gelderland,225,315,265,130
Vernieling middel openb.vervoer,Utrecht,125,140,185,35
Vernieling middel openb.vervoer,Noord-Holland,460,570,590,425
Vernieling middel openb.vervoer,Zuid-Holland,355,540,415,225
Vernieling middel openb.vervoer,Zeeland,25,70,65,20
Vernieling middel openb.vervoer,Noord-Brabant,95,200,175,40
Vernieling middel openb.vervoer,Limburg,55,100,125,25
Vernieling middel openb.vervoer,niet in te delen,5,5,0,0
Dierenmishandeling,Groningen,0,0,0,0
Dierenmishandeling,Friesland,0,0,0,0
Dierenmishandeling,Drenthe,0,0,0,0
Dierenmishandeling,Overijssel,0,0,0,0
Dierenmishandeling,Flevoland,0,0,0,0
Dierenmishandeling,Gelderland,0,0,0,0
Dierenmishandeling,Utrecht,0,0,0,0
Dierenmishandeling,Noord-Holland,0,0,0,0
Dierenmishandeling,Zuid-Holland,0,0,0,0
Dierenmishandeling,Zeeland,0,0,0,0
Dierenmishandeling,Noord-Brabant,0,0,0,0
Dierenmishandeling,Limburg,0,0,0,0
Dierenmishandeling,niet in te delen,0,0,0,0
Vernieling, beschadiging (overig),Groningen,2705,2735,2825,2490
Vernieling, beschadiging (overig),Friesland,3110,3185,3100,2540
Vernieling, beschadiging (overig),Drenthe,2225,2390,2295,1885
Vernieling, beschadiging (overig),Overijssel,4275,4415,4740,4100
Vernieling, beschadiging (overig),Flevoland,1545,2125,1910,1495
Vernieling, beschadiging (overig),Gelderland,7975,7670,7950,6925
Vernieling, beschadiging (overig),Utrecht,4580,4520,4415,3780
Vernieling, beschadiging (overig),Noord-Holland,10965,11070,10760,9620
Vernieling, beschadiging (overig),Zuid-Holland,13705,16270,15790,13965
Vernieling, beschadiging (overig),Zeeland,1740,1805,1695,1435
Vernieling, beschadiging (overig),Noord-Brabant,9280,9410,8950,7865
Vernieling, beschadiging (overig),Limburg,4865,4415,4190,4085
Vernieling, beschadiging (overig),niet in te delen,75,60,20,20
Openbare orde misdrijf,Groningen,765,770,725,465
Openbare orde misdrijf,Friesland,545,605,565,470
Openbare orde misdrijf,Drenthe,325,325,420,300
Openbare orde misdrijf,Overijssel,1275,1315,1110,825
Openbare orde misdrijf,Flevoland,540,615,470,345
Openbare orde misdrijf,Gelderland,2000,2045,1870,1265
Openbare orde misdrijf,Utrecht,1410,1600,1620,1270
Openbare orde misdrijf,Noord-Holland,5000,4755,3030,2370
Openbare orde misdrijf,Zuid-Holland,5130,4650,3795,3180
Openbare orde misdrijf,Zeeland,335,355,325,245
Openbare orde misdrijf,Noord-Brabant,2520,2535,2725,1885
Openbare orde misdrijf,Limburg,1160,1130,890,700
Openbare orde misdrijf,niet in te delen,50,65,50,30
Openlijke geweldpleging,Groningen,275,250,310,180
Openlijke geweldpleging,Friesland,210,215,165,145
Openlijke geweldpleging,Drenthe,145,135,130,90
Openlijke geweldpleging,Overijssel,390,390,330,275
Openlijke geweldpleging,Flevoland,195,195,155,120
Openlijke geweldpleging,Gelderland,915,800,690,565
Openlijke geweldpleging,Utrecht,695,725,620,565
Openlijke geweldpleging,Noord-Holland,1675,1390,1155,980
Openlijke geweldpleging,Zuid-Holland,2595,2225,1900,1585
