Gelderland,Bedreiging en stalking,3500,3445,3450,3260
Gelderland,Bedreiging,3120,3125,3115,2950
Gelderland,Stalking,385,325,335,310
Gelderland,Seksueel misdrijf,1050,1045,995,985
Gelderland,Aanranding,245,230,240,230
Gelderland,Verkrachting,160,180,125,130
Gelderland,Schennis der eerbaarheid,255,245,215,180
Gelderland,Ontucht met minderjarige,145,100,140,125
Gelderland,Pornografie,60,65,55,90
Gelderland,Ontucht met misbruik van gezag,55,65,80,95
Gelderland,Seksueel misdrijf (overig),140,165,140,135
Gelderland,Levensmisdrijf,340,345,315,310
Gelderland,Vrijheidsbeneming/gijzeling,50,50,35,40
Gelderland,Mensenhandel,85,60,65,50
Gelderland,Geweldsmisdrijf (overig),70,100,115,105
Gelderland,Misdrijven WvSr (overig),1110,1225,1190,1155
Gelderland,Verkeersmisdrijven,14995,14150,12390,11770
Gelderland,5.Verlaten plaats ongeval,9520,9090,8425,8225
Gelderland,5.Rijden onder invloed,5050,4605,3515,3150
Gelderland,5.Rijdentijdens ontzegging,160,200,105,125
Gelderland,5.Rijdentijdens rijverbod,5,5,5,5
Gelderland,5.Voeren vals kenteken,75,85,70,90
Gelderland,5.Joyriding,50,40,35,25
Gelderland,5.Weigeren blaastest/bloedonderzoek,30,30,30,25
Gelderland,5.Verkeersmisdrijf (overig),110,95,205,130
Gelderland,Drugsmisdrijven,1465,1350,1180,1130
Gelderland,6.Harddrugs,720,705,635,545
Gelderland,6.Softdrugs,740,645,545,590
Gelderland,(Vuur)wapenmisdrijven,535,580,530,540
Gelderland,Misdrijven overige wetten,680,560,570,495
Gelderland,Militair misdrijf,30,35,25,30
Gelderland,Misdrijf (overig),645,525,545,470
Groningen,totaal,37910,36585,35435,33985
Groningen,Vermogensmisdrijven,20950,20500,20510,20890
Groningen,Diefstal/verduistering en inbraak,19410,19175,19070,19710
Groningen,Diefstal en inbraak met geweld,550,410,355,305
Groningen,Diefstal en inbraak zonder geweld,18865,18765,18715,19400
Groningen,Bedrog,1045,830,910,690
Groningen,Oplichting,1000,805,880,665
Groningen,Flessentrekkerij,25,10,15,15
Groningen,Bedrog (overig),15,15,20,10
Groningen,Valsheidsmisdrijf,245,250,335,245
Groningen,Muntmisdrijf,25,20,55,55
Groningen,Valsheid in zegels en merken,5,0,0,0
Groningen,Valsheid in geschriften,215,230,280,185
Groningen,Heling,205,200,140,180
Groningen,Afpersing en afdreiging,30,30,35,45
Groningen,Bankbreuk,0,5,5,5
Groningen,Witwassen,10,10,15,15
Groningen,Vermogensmisdrijf (overig),0,0,0,0
Groningen, misdr.openb.orde/gezag,6655,6520,6115,5060
Groningen,Vernieling en beschadiging,5425,5225,4920,4325
Groningen,Vernieling aan auto,2275,2105,1880,1700
Groningen,Vernieling aan openbaar gebouw,380,325,175,125
Groningen,Vernieling middel openb.vervoer,70,65,40,10
Groningen,Dierenmishandeling,0,0,0,0
Groningen,Vernieling,2705,2735,2825,2490
Groningen,Openbare orde misdrijf,765,770,725,465
Groningen,Openlijke geweldpleging,275,250,310,180
Groningen,Openlijk geweldtegen persoon,200,180,235,155
Groningen,Openlijk geweldtegen goed,80,70,75,20
Groningen,Huisvredebreuk,160,165,135,130
Groningen,Lokaalvredebreuk,30,25,30,25
Groningen,Computervredebreuk,35,65,145,65
Groningen,Discriminatie,15,10,10,10
Groningen,Openbare orde misdrijf (overig),250,250,95,55
Groningen,Brandstichting/ontploffing,335,350,290,160
Groningen,Openbaar gezag misdrijf,125,175,185,115
Groningen,Niet opvolgen van ambtelijk bevel,70,105,105,70
Groningen,Wederspannigheid,20,35,45,20
Groningen,Valse aangifte,25,30,25,20
Groningen,Verblijf ongewenste vreemdeling,0,0,0,0
Groningen,Openbaar gezag misdrijf (overig),10,15,10,5
Groningen,Gewelds- en seksuele misdrijven,4850,4520,4450,4175
Groningen,Mishandeling,2545,2395,2385,2165
Groningen,Bedreiging en stalking,1655,1515,1490,1425
Groningen,Bedreiging,1425,1345,1320,1270
Groningen,Stalking,230,170,170,160
Groningen,Seksueel misdrijf,385,360,315,345
Groningen,Aanranding,65,75,45,55
Groningen,Verkrachting,75,55,40,40
Groningen,Schennis der eerbaarheid,90,90,90,100
Groningen,Ontucht met minderjarige,35,25,45,30
Groningen,Pornografie,35,25,20,25
Groningen,Ontucht met misbruik van gezag,25,20,25,25
Groningen,Seksueel misdrijf (overig),60,65,50,65
Groningen,Levensmisdrijf,165,160,140,160
Groningen,Vrijheidsbeneming/gijzeling,25,15,20,15
Groningen,Mensenhandel,30,25,45,25
Groningen,Geweldsmisdrijf (overig),45,45,55,35
Groningen,Misdrijven WvSr (overig),355,340,310,370
Groningen,Verkeersmisdrijven,4000,3790,3150,2590
Groningen,5.Verlaten plaats ongeval,2285,2265,1900,1745
Groningen,5.Rijden onder invloed,1535,1385,1105,730
Groningen,5.Rijdentijdens ontzegging,100,65,50,45
Groningen,5.Rijdentijdens rijverbod,0,0,0,5
Groningen,5.Voeren vals kenteken,20,10,20,20
Groningen,5.Joyriding,10,15,15,5
Groningen,5.Weigeren blaastest/bloedonderzoek,15,15,10,5
Groningen,5.Verkeersmisdrijf (overig),40,35,50,35
Groningen,Drugsmisdrijven,660,555,550,585
Groningen,6.Harddrugs,235,175,175,210
Groningen,6.Softdrugs,420,380,375,375
Groningen,(Vuur)wapenmisdrijven,170,205,175,150
Groningen,Misdrijven overige wetten,275,150,180,170
Groningen,Militair misdrijf,0,0,0,0
Groningen,Misdrijf (overig),275,150,180,170
Limburg,totaal,84590,85760,81685,76575
Limburg,Vermogensmisdrijven,48850,52730,50665,47535
Limburg,Diefstal/verduistering en inbraak,46350,50460,48190,45365
Limburg,Diefstal en inbraak met geweld,875,930,800,695
Limburg,Diefstal en inbraak zonder geweld,45480,49530,47395,44670
Limburg,Bedrog,1715,1425,1535,1270
Limburg,Oplichting,1640,1380,1460,1195
Limburg,Flessentrekkerij,55,35,60,50
Limburg,Bedrog (overig),20,10,15,20
Limburg,Valsheidsmisdrijf,375,445,475,475
Limburg,Muntmisdrijf,60,55,60,175
Limburg,Valsheid in zegels en merken,10,10,5,5
Limburg,Valsheid in geschriften,310,380,410,295
Limburg,Heling,315,300,380,325
Limburg,Afpersing en afdreiging,50,75,65,70
Limburg,Bankbreuk,5,5,5,5
Limburg,Witwassen,35,15,20,20
Limburg,Vermogensmisdrijf (overig),0,0,0,0
Limburg, misdr.openb.orde/gezag,13390,12030,10890,9970
Limburg,Vernieling en beschadiging,11240,9995,9100,8595
Limburg,Vernieling aan auto,5850,5095,4655,4390
Limburg,Vernieling aan openbaar gebouw,475,385,125,95
Limburg,Vernieling middel openb.vervoer,55,100,125,25
Limburg,Dierenmishandeling,0,0,0,0
Limburg,Vernieling,4865,4415,4190,4085
Limburg,Openbare orde misdrijf,1160,1130,890,700
Limburg,Openlijke geweldpleging,445,490,325,305
Limburg,Openlijk geweldtegen persoon,365,410,255,260
Limburg,Openlijk geweldtegen goed,80,75,65,45
Limburg,Huisvredebreuk,160,185,180,160
Limburg,Lokaalvredebreuk,40,30,20,20
Limburg,Computervredebreuk,80,105,235,110
Limburg,Discriminatie,10,10,5,10
Limburg,Openbare orde misdrijf (overig),425,315,125,100
Limburg,Brandstichting/ontploffing,660,685,610,475
Limburg,Openbaar gezag misdrijf,325,225,290,200
Limburg,Niet opvolgen van ambtelijk bevel,200,120,165,110
Limburg,Wederspannigheid,55,50,45,50
Limburg,Valse aangifte,40,30,40,25
Limburg,Verblijf ongewenste vreemdeling,0,0,15,5
Limburg,Openbaar gezag misdrijf (overig),30,20,25,15
Limburg,Gewelds- en seksuele misdrijven,7820,7430,7575,7100
Limburg,Mishandeling,3925,3800,3760,3590
Limburg,Bedreiging en stalking,2735,2620,2760,2605
Limburg,Bedreiging,2455,2370,2490,2355
Limburg,Stalking,280,250,270,245
Limburg,Seksueel misdrijf,650,570,515,500
Limburg,Aanranding,150,125,100,120
Limburg,Verkrachting,115,90,80,55
Limburg,Schennis der eerbaarheid,195,165,135,135
Limburg,Ontucht met minderjarige,65,45,60,55
Limburg,Pornografie,30,40,50,55
Limburg,Ontucht met misbruik van gezag,30,30,20,30
Limburg,Seksueel misdrijf (overig),65,75,70,55
Limburg,Levensmisdrijf,300,265,310,275
Limburg,Vrijheidsbeneming/gijzeling,50,40,50,30
Limburg,Mensenhandel,70,50,75,45
Limburg,Geweldsmisdrijf (overig),90,90,105,60
Limburg,Misdrijven WvSr (overig),585,600,630,610
Limburg,Verkeersmisdrijven,10690,10530,9130,8995
Limburg,5.Verlaten plaats ongeval,7835,7755,6775,6970
Limburg,5.Rijden onder invloed,2615,2545,1955,1735
Limburg,5.Rijdentijdens ontzegging,115,105,70,70
Limburg,5.Rijdentijdens rijverbod,5,5,5,5
Limburg,5.Voeren vals kenteken,40,45,45,40
Limburg,5.Joyriding,15,15,15,15
Limburg,5.Weigeren blaastest/bloedonderzoek,15,15,30,15
Limburg,5.Verkeersmisdrijf (overig),55,45,235,140
Limburg,Drugsmisdrijven,1980,1605,1950,1545
Limburg,6.Harddrugs,720,620,670,560
Limburg,6.Softdrugs,1260,985,1280,985
Limburg,(Vuur)wapenmisdrijven,565,585,540,490
Limburg,Misdrijven overige wetten,705,250,305,330
Limburg,Militair misdrijf,10,15,0,5
Limburg,Misdrijf (overig),695,235,300,325
niet in te delen,totaal,6005,5080,3865,3175
niet in te delen,Vermogensmisdrijven,4185,3520,2785,2245
niet in te delen,Diefstal/verduistering en inbraak,3145,2660,2040,1770
niet in te delen,Diefstal en inbraak met geweld,60,60,40,40
niet in te delen,Diefstal en inbraak zonder geweld,3090,2595,2005,1730
niet in te delen,Bedrog,685,485,460,315
niet in te delen,Oplichting,675,480,450,310
niet in te delen,Flessentrekkerij,5,0,5,0
niet in te delen,Bedrog (overig),5,5,5,5
niet in te delen,Valsheidsmisdrijf,315,345,255,145
niet in te delen,Muntmisdrijf,0,0,0,0
niet in te delen,Valsheid in zegels en merken,0,0,0,0
niet in te delen,Valsheid in geschriften,315,340,255,140
niet in te delen,Heling,15,10,15,5
niet in te delen,Afpersing en afdreiging,10,10,10,5
niet in te delen,Bankbreuk,10,0,5,0
niet in te delen,Witwassen,5,5,0,0
niet in te delen,Vermogensmisdrijf (overig),0,0,0,0
niet in te delen, misdr.openb.orde/gezag,225,225,115,90
niet in te delen,Vernieling en beschadiging,155,150,55,50
niet in te delen,Vernieling aan auto,65,80,35,35
niet in te delen,Vernieling aan openbaar gebouw,10,0,0,0
niet in te delen,Vernieling middel openb.vervoer,5,5,0,0
niet in te delen,Dierenmishandeling,0,0,0,0
niet in te delen,Vernieling,75,60,20,20
niet in te delen,Openbare orde misdrijf,50,65,50,30
niet in te delen,Openlijke geweldpleging,15,20,5,5
niet in te delen,Openlijk geweldtegen persoon,15,15,5,5
niet in te delen,Openlijk geweldtegen goed,0,5,0,0
niet in te delen,Huisvredebreuk,0,0,0,0
niet in te delen,Lokaalvredebreuk,0,0,0,0
niet in te delen,Computervredebreuk,20,40,40,20
niet in te delen,Discriminatie,5,0,0,5
niet in te delen,Openbare orde misdrijf (overig),10,5,0,0
niet in te delen,Brandstichting/ontploffing,0,5,5,0
niet in te delen,Openbaar gezag misdrijf,15,5,5,5
niet in te delen,Niet opvolgen van ambtelijk bevel,5,5,0,0
niet in te delen,Wederspannigheid,0,0,0,0
niet in te delen,Valse aangifte,5,0,0,5
niet in te delen,Verblijf ongewenste vreemdeling,5,0,0,0
niet in te delen,Openbaar gezag misdrijf (overig),5,0,5,0
niet in te delen,Gewelds- en seksuele misdrijven,710,650,495,450
niet in te delen,Mishandeling,180,150,110,105
niet in te delen,Bedreiging en stalking,165,130,100,90
niet in te delen,Bedreiging,150,110,90,75
niet in te delen,Stalking,20,20,10,15
niet in te delen,Seksueel misdrijf,215,235,170,160
niet in te delen,Aanranding,40,35,20,25
niet in te delen,Verkrachting,65,80,55,40
niet in te delen,Schennis der eerbaarheid,5,10,0,5
niet in te delen,Ontucht met minderjarige,45,30,35,30
niet in te delen,Pornografie,0,10,5,10
niet in te delen,Ontucht met misbruik van gezag,15,25,25,30
niet in te delen,Seksueel misdrijf (overig),35,40,30,15
niet in te delen,Levensmisdrijf,25,25,15,20
niet in te delen,Vrijheidsbeneming/gijzeling,15,5,5,5
niet in te delen,Mensenhandel,85,85,80,60
niet in te delen,Geweldsmisdrijf (overig),20,15,10,10
niet in te delen,Misdrijven WvSr (overig),50,35,35,35
niet in te delen,Verkeersmisdrijven,690,565,345,310
niet in te delen,5.Verlaten plaats ongeval,430,355,175,175
niet in te delen,5.Rijden onder invloed,190,165,130,95
niet in te delen,5.Rijdentijdens ontzegging,5,10,5,0
niet in te delen,5.Rijdentijdens rijverbod,0,0,0,0
niet in te delen,5.Voeren vals kenteken,35,25,15,25
niet in te delen,5.Joyriding,10,5,5,5
niet in te delen,5.Weigeren blaastest/bloedonderzoek,0,0,0,5
niet in te delen,5.Verkeersmisdrijf (overig),20,10,10,5
niet in te delen,Drugsmisdrijven,65,40,40,15
niet in te delen,6.Harddrugs,30,20,15,5
niet in te delen,6.Softdrugs,35,20,25,10
niet in te delen,(Vuur)wapenmisdrijven,25,25,30,5
niet in te delen,Misdrijven overige wetten,55,25,20,25
niet in te delen,Militair misdrijf,0,0,5,5
niet in te delen,Misdrijf (overig),50,25,15,20
Noord-Brabant,totaal,175280,173010,170220,162165
Noord-Brabant,Vermogensmisdrijven,103140,103740,104785,103250
Noord-Brabant,Diefstal/verduistering en inbraak,97910,98890,99225,98180
Noord-Brabant,Diefstal en inbraak met geweld,1885,1755,1735,1470
Noord-Brabant,Diefstal en inbraak zonder geweld,96025,97130,97490,96710
Noord-Brabant,Bedrog,3155,2695,3095,2645
Noord-Brabant,Oplichting,3080,2615,2995,2545
Noord-Brabant,Flessentrekkerij,40,50,70,70
